,Country Name,Number of Companies,Investment Amount,Conference,Journal,Patent,Repository,Number of Companies Normalized,Investment Amount Normalized,Conference Normalized,Journal Normalized,Patent Normalized,Repository Normalized,Index Equal Metric Weights,Index Equal Pillar Weights,Index Andre Prefers,Rank Equal Metric Weights,Rank Equal Pillar Weights,Rank Andre Prefers,Rank Difference Max
6,Israel,24.0,1247279732.0,153.183333739638,194.301191024482,12.0,140.442002817988,13.043478260869565,5.285741779985274,2.2887522088069954,1.4015918377361731,0.4352030947383651,2.309571015995722,24.764338198132094,43.09355823898693,27.578085277218356,11.0,10.0,11.0,1.0
17,Italy,5.0,75412354.0,508.533767364919,877.943989455699,75.6666666865348,266.060137800872,2.717391304347826,0.31958366678954386,7.598135873499575,6.333049854828707,2.744197292543025,4.375363284822209,24.087721276830884,27.124696247968252,22.329080972851692,12.0,13.0,12.0,1.0
25,Taiwan,5.0,32042626.0,374.291667297482,606.453645177185,215.333333343267,78.1537881791591,2.717391304347826,0.13579074737072888,5.592389585418024,4.374653982118882,7.809477755943148,1.2852403151981826,21.914943690396793,24.76812574211535,19.604924628161154,13.0,14.0,13.0,1.0
10,Singapore,14.0,315263624.0,327.584525190293,406.203645892441,29.8333333432674,216.249243244528,7.608695652173913,1.3360291731946208,4.894525972875238,2.930150409987884,1.081963249779269,3.556222315312932,21.407586773323857,30.352311598692392,17.806978640733806,14.0,12.0,15.0,3.0
11,Spain,7.0,97886112.0,319.300433784723,878.756759561598,4.33333334326744,202.074423409998,3.8043478260869565,0.41482331397229655,4.770751198951832,6.338912772808661,0.15715667346024467,3.323117173048479,18.80910895832847,23.028280098387725,16.249231074158402,15.0,15.0,17.0,2.0
16,Switzerland,5.0,181260748.0,268.771826386451,361.542509272694,74.0000000596046,328.911303430795,2.717391304347826,0.7681496653831478,4.015790075130752,2.6079872558651163,2.683752419714927,5.4089517238061084,18.202022444247877,21.687563413978854,17.789080136049495,16.0,16.0,16.0,0.0
19,Hong Kong,3.0,225894361.0,386.577779754996,535.562640450894,42.8333333432674,260.550001114606,1.6304347826086956,0.9572986966493704,5.775959601413243,3.863281647912416,1.5534332690791643,4.284748997576052,18.065156995238944,20.652890474497006,19.306618302578357,17.0,17.0,14.0,3.0
15,Brazil,6.0,31842570.0,374.575000688433,543.346898779273,0.5,152.111111402511,3.260869565217391,0.134942946889083,5.596622943633547,3.919433403227756,0.018133462280765213,2.501469696081117,15.43147201732966,18.827284529436135,12.575431292779516,18.0,19.0,19.0,1.0
14,Netherlands,6.0,64597258.0,228.28571486473,523.574713610112,16.3333333432674,245.668446101248,3.260869565217391,0.27375128186809017,3.4108765058201267,3.7768067255363538,0.5923597681986084,4.040021583824051,15.35468543046462,18.8893062775501,12.915069710851501,19.0,18.0,18.0,1.0
29,Turkey,8.0,11150000.0,173.950000166893,584.330891922116,0.5,97.9444445297122,4.3478260869565215,0.04725164639076794,2.599032397223074,4.215071479165264,0.018133462280765213,1.6106979801248664,12.838013052141259,17.233090785488546,8.631941904357042,20.0,20.0,22.0,2.0
65,Iran,0.0,0.0,159.416666865348,927.166210159659,0.0,113.51904785633,0.0,0.0,2.3818860675069704,6.688114393600506,0.0,1.866822584637982,10.936823045745458,10.936823045745458,10.936823045745458,21.0,22.0,20.0,2.0
18,Sweden,5.0,145942311.0,190.991667181253,242.736953146755,18.5,122.22717603296,2.717391304347826,0.6184766343339446,2.8536563962487396,1.7509832567345,0.6709381043883129,2.0100278938529565,10.62147358990628,13.957341528588051,9.759512188560288,22.0,21.0,21.0,1.0
22,Russia,3.0,18720094.0,194.676190733909,264.816606149077,26.0,78.1678573340177,1.6304347826086956,0.07933231050133961,2.9087078252369363,1.910254855971389,0.942940038599791,1.2854716826782029,8.757141495596354,10.466908588706389,7.364703644491677,23.0,23.0,23.0,0.0
26,Belgium,4.0,28097532.0,126.000000208616,284.992039754986,1.5,78.7204547598958,2.1739130434782608,0.11907216560693154,1.8825989208284826,2.05579036666863,0.05440038684229564,1.2945591563165268,7.5803340397411265,9.87331924882632,5.76363749308366,24.0,24.0,26.0,2.0
42,Malaysia,4.0,22735000.0,148.916666924953,358.675433844327,1.0,12.5333333909511,2.1739130434782608,0.0963467426631488,2.22500282525492,2.587305604366301,0.036266924561530425,0.20611087105519776,7.324946011379359,9.59520579752077,5.440073195890545,25.0,25.0,27.0,2.0
20,Poland,3.0,53760562.0,171.983333647251,260.248846195638,0.0,34.7039683237671,1.6304347826086956,0.2278273601249288,2.569647918958174,1.8773053149329524,0.0,0.5707073223989957,6.8759226990237465,8.73418484175737,5.928969996789838,26.0,26.0,25.0,1.0
56,Saudi Arabia,2.0,1698817.0,85.3166669160127,407.702382743358,12.8333333432674,36.0333334505557,1.0869565217391304,0.007199273557544863,1.274738609514585,2.9409615497759822,0.46542553223325184,0.5925687534872826,6.367850240307776,7.4620060356044515,5.302491539241281,27.0,31.0,29.0,4.0
30,Austria,3.0,32909256.0,112.116666905581,179.083705872297,1.66666668653488,82.8519233241677,1.6304347826086956,0.139463365694642,1.6751644109037074,1.291820493218339,0.060444874989776375,1.362501223917956,6.159829151333116,7.929727299636453,4.947784465808347,28.0,27.0,31.0,4.0
33,Portugal,3.0,35914351.0,146.157576158642,170.547655679285,7.16666668653488,40.8883117884397,1.6304347826086956,0.1521984048256433,2.1837785292983733,1.2302456865280165,0.2599129600781937,0.6724089510597698,6.128979314398692,7.911612501833031,4.955139746266926,29.0,28.0,30.0,2.0
53,Pakistan,1.0,0.0,110.333333745598,426.05516076833,0.83333334326744,36.3444445505738,0.5434782608695652,0.0,1.6485191642616197,3.0733493325989056,0.030222437494888187,0.5976849805770341,5.893254175802014,6.436732436671578,5.349775914932447,30.0,34.0,28.0,6.0
37,Indonesia,3.0,63500000.0,156.416666746139,149.969444610178,0.0,18.0833333432674,1.6304347826086956,0.26910130455728826,2.337062281970802,1.081804740193115,0.0,0.2973807103586117,5.615783819688512,7.515319906854496,4.792652950751681,31.0,30.0,32.0,2.0
21,Finland,1.0,155986034.0,93.2750003784895,143.765513025224,16.0,66.0109670758247,0.5434782608695652,0.6610400825530319,1.3936461489054264,1.0370526734379015,0.5802707929844868,1.085551425051635,5.301039383802047,6.505557727224643,6.740681370591577,32.0,33.0,24.0,9.0
23,Ireland,3.0,73025787.0,91.3504330962896,110.174242950975,6.83333334326744,57.9500000625848,1.6304347826086956,0.3094698354019317,1.364890686345645,0.7947420128237495,0.24782398486407073,0.9529886916733273,5.300349993717419,7.240254611728046,4.598324717314519,33.0,32.0,34.0,2.0
24,Denmark,1.0,50502777.0,96.4916669875383,139.398846268653,0.5,85.0958877652883,0.5434782608695652,0.21402146731442226,1.4417072050707755,1.0055537183782146,0.018133462280765213,1.3994032555762042,4.622297369489948,5.379797097673935,4.720883510563649,34.0,36.0,33.0,3.0
45,Greece,0.0,5581354.0,141.083333656191,212.157143488526,0.0,46.866666778922,0.0,0.02365275027710298,2.1079629464148817,1.5303957688734549,0.0,0.7707230959188806,4.432734561484319,4.456387311761422,4.503692812315629,35.0,42.0,35.0,7.0
36,Czech Republic,1.0,11052597.0,130.642857380211,116.394048005342,1.5,42.3565657511353,0.5434782608695652,0.04683887041647198,1.951969062783513,0.8396085828666091,0.05440038684229564,0.6965544113089902,4.1328495750874445,4.723166706373482,3.729887925467296,36.0,39.0,39.0,3.0
27,United Arab Emirates,3.0,11900000.0,70.5428573936224,113.735714897513,7.0,14.083333402872,1.6304347826086956,0.0504300082556178,1.0539992617580154,0.8204326943078638,0.253868471930713,0.23160064641082964,4.0407658652717355,5.721630656136049,2.561621107429893,37.0,35.0,46.0,11.0
31,Mexico,1.0,0.0,95.2833335548639,233.696429170668,0.0,20.7121212780475,0.5434782608695652,0.0,1.4236531795740497,1.685769427900352,0.0,0.3406111706165435,3.9935120389605103,4.536990299830075,3.4500337780909454,38.0,40.0,41.0,3.0
28,Norway,1.0,13656552.0,72.7575760185718,156.377850674092,2.5,58.1654153615236,0.5434782608695652,0.05787395210951881,1.0870899513323429,1.1280317838088652,0.09066731140382607,0.9565311997609961,3.863672459285114,4.465024672264199,3.4938160547441055,39.0,41.0,40.0,2.0
13,South Korea,5.0,249252960.0,0.0,6.0,0.0,0.0,2.717391304347826,1.0562881370199306,0.0,0.04328100606113852,0.0,0.0,3.8169604474288956,7.590639888796653,4.268433554140861,40.0,29.0,36.0,11.0
38,South Africa,2.0,93729061.0,63.6666667461395,119.925000295042,0.0,29.3095239177346,1.0869565217391304,0.3972064974807819,0.9512603008776249,0.8650791107752919,0.0,0.48199559657919583,3.7824980274520246,5.2666610466719375,3.88716099815524,41.0,38.0,38.0,3.0
46,Vietnam,3.0,2950000.0,52.4500002115964,146.191209800541,0.0,14.9857143312692,1.6304347826086956,0.012501556668409455,0.7836691558120567,1.0545504395770646,0.0,0.24644031542576447,3.727596250091991,5.370532589369096,2.1346661374885234,42.0,37.0,49.0,12.0
39,New Zealand,0.0,52586734.0,101.666666984558,178.624243155121,0.5,25.8166667371988,0.0,0.22285289325680482,1.5190282320036828,1.2885061584438455,0.018133462280765213,0.42455550354924376,3.4730762495343424,3.6959291427911474,4.1416349293047565,43.0,46.0,37.0,9.0
59,Romania,2.0,0.0,105.833333432674,52.1500000804662,0.0,18.0000000298023,1.0869565217391304,0.0,1.581283483953587,0.37618407826183864,0.0,0.2960102926660122,3.340434376620568,4.427390898359699,2.253477854881438,44.0,43.0,48.0,5.0
48,Egypt,0.0,2710000.0,77.4166668951511,253.400000929832,0.0,16.4166667163372,0.0,0.0114844808716575,1.156702645314626,1.8279011626894277,0.0,0.2699723506254199,3.266060639501131,3.2775451203727886,3.3005140821161034,45.0,48.0,42.0,6.0
55,Bangladesh,0.0,583108.0,104.333333402872,111.166666984558,0.0,43.9000001251697,0.0,0.0024711043070518306,1.5588715916307898,0.8019008645925372,0.0,0.7219362146430052,3.085179775173384,3.087650879480436,3.0925930880945396,46.0,49.0,44.0,5.0
47,Thailand,0.0,9000000.0,133.166666805744,99.8666670545935,0.0,10.9166666865348,0.0,0.03814034237819834,1.98967795875985,0.720388303682594,0.0,0.17952476085934557,2.927731365679988,2.9658717080581862,3.042152392814583,47.0,50.0,45.0,5.0
43,Hungary,1.0,79451243.0,65.0416667312383,60.4032108411192,0.0,25.7773810476064,0.5434782608695652,0.3366997344881593,0.97180453487604,0.435718622421118,0.0,0.4239094497462116,2.7116106024010938,3.591788597758818,3.1782315449960064,48.0,47.0,43.0,5.0
35,Chile,2.0,93300000.0,21.3333333730697,54.3583337217569,0.0,13.2954545915126,1.0869565217391304,0.39538821598732277,0.318746907296187,0.3921138952141251,0.0,0.21864396656917925,2.4118495068059445,3.8941942445323976,2.5110576330287824,49.0,45.0,47.0,4.0
34,Estonia,3.0,22124225.0,14.7833333909511,19.2000001221895,0.0,6.75000005960464,1.6304347826086956,0.09375839070581057,0.2208816463648632,0.13849922027705736,0.0,0.1110038605461666,2.194577900502593,3.9187710738170995,0.8454182900113295,50.0,44.0,57.0,13.0
74,Tunisia,0.0,850000.0,72.0000001788139,113.309524103999,0.0,2.08333334326744,0.0,0.003602143446829843,1.0757708127925603,0.817358366588317,0.0,0.03426045064668979,1.9309917734743969,1.9345939169212267,1.9417982038148864,51.0,53.0,50.0,3.0
40,Argentina,2.0,0.0,9.83333337306976,43.001190662384,0.0,14.0000000298023,1.0869565217391304,0.0,0.14692240290188466,0.31018913228246914,0.0,0.2302302277380315,1.7742982846615158,2.8612548064006464,0.6873417629223852,52.0,51.0,62.0,11.0
58,Philippines,1.0,0.0,42.5000000298023,22.8333334177732,0.0,7.83333334326744,0.5434782608695652,0.0,0.635003603641622,0.16470827367510643,0.0,0.12881929398066194,1.4720094321669555,2.015487693036521,0.9285311712973904,53.0,52.0,56.0,4.0
